id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
0FktnzDqjClqU6iqOZVEs2,BYE ME FUI,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],3,1,True,0.7120000000000001,0.599,5,-6.3420000000000005,0,0.1119999999999999,0.412,2.15e-05,0.103,0.588,179.78799999999995,178000,4.0,2020,2020-05-10
3pm4XtcsRIFFtH2UErk62R,CANCIÓN CON YANDEL,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,"['Yandel', 'Bad Bunny']","['0eHQ9o50hj6ZDNBt6Ys1sD', '4q3ewBCX7sLwd24euuV69X']",4,1,True,0.75,0.741,9,-4.43,1,0.402,0.447,0.0,0.121,0.495,79.968,209180,4.0,2020,2020-05-10
5XqCz18k96K8tx6DAYM97i,PA' ROMPERLA,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,"['Bad Bunny', 'Don Omar']","['4q3ewBCX7sLwd24euuV69X', '33ScadVnbm2X8kkUqOkC6Z']",5,1,True,0.772,0.83,7,-5.019,1,0.0599,0.016,0.0,0.0843,0.6970000000000001,94.011,194200,4.0,2020,2020-05-10
5bmSver2b3ZXyuyLKtgnFI,BAD CON NICKY,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,"['Bad Bunny', 'Nicky Jam']","['4q3ewBCX7sLwd24euuV69X', '1SupJlEpv7RS2tPNRaHViT']",6,1,True,0.59,0.7290000000000001,7,-4.95,0,0.0893,0.321,0.0,0.659,0.7120000000000001,93.094,202240,4.0,2020,2020-05-10
2CoMYp2uIKsT09nreEZnZn,BENDICIONES,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],7,1,False,0.828,0.581,11,-9.909,1,0.0725,0.0378,0.0,0.103,0.843,143.995,155060,4.0,2020,2020-05-10
6KFjMJJq8UZpfUyDgeH0Yl,CÓMO SE SIENTE - Remix,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,"['Jhay Cortez', 'Bad Bunny']","['0EFisYRi20PTADoJrifHrz', '4q3ewBCX7sLwd24euuV69X']",8,1,True,0.813,0.616,3,-8.867,0,0.0773,0.0926,0.0,0.122,0.347,93.0,227120,4.0,2020,2020-05-10
3XZeOzJ9tqnu58YP6cqApI,RONCA FREESTYLE,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],9,1,True,0.856,0.6559999999999999,5,-6.483,0,0.131,0.165,0.0,0.0998,0.586,90.041,150060,4.0,2020,2020-05-10
2DhNdoHxavs7Qtf5MnhZD0,EN CASITA,LAS QUE NO IBAN A SALIR,4gvQO5mEuhbMSrLIuwXkmz,"['Bad Bunny', 'Gabriela']","['4q3ewBCX7sLwd24euuV69X', '1A8aoDrchH5aefQYBCfpLv']",10,1,False,0.779,0.764,0,-8.217,1,0.0938,0.221,0.000669,0.0909,0.675,158.093,176440,4.0,2020,2020-05-10
06s3QtMJVXw1AJX3UfvZG1,Hasta Que Dios Diga,Emmanuel,7JtT7OyWM8BnIS5FXXPMKg,"['Anuel AA', 'Bad Bunny']","['2R21vXR83lH98kGeO99Y66', '4q3ewBCX7sLwd24euuV69X']",5,1,True,0.691,0.765,8,-4.727,1,0.111,0.4639999999999999,3.29e-06,0.203,0.855,174.021,246000,4.0,2020,2020-05-29
6NfC2FKfsfzuLIF4lThw0A,Así Soy Yo,Emmanuel,7JtT7OyWM8BnIS5FXXPMKg,"['Anuel AA', 'Bad Bunny']","['2R21vXR83lH98kGeO99Y66', '4q3ewBCX7sLwd24euuV69X']",13,1,True,0.732,0.807,10,-3.424,0,0.1159999999999999,0.445,0.0015199999999999,0.0975,0.7240000000000001,176.02599999999995,226379,4.0,2020,2020-05-29
